Membership No  Date Joined  Active  
    81556      2018-11-25   no    
    56283      2016-5-17    yes   
    45638      2020-8-7     yes   
    95870      2019-3-20    yes   
    97269      2016-7-7     yes   
    66413      2017-4-9     no    
    40478      2016-2-6     yes   
    36552      2019-4-14    yes   
    57741      2018-9-17    no    
    79050      2019-1-3     no    
    53135      2019-10-14   no    
    28666      2019-6-3     yes   
    30195      2020-3-16    yes   
    32803      2018-1-23    yes   
    74195      2018-11-3    no    
    40059      2017-1-21    no    
    17867      2020-10-19   no    
    69965      2020-7-10    yes   
    45445      2020-11-21   no    
    24343      2017-12-18   yes   
